food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready
DR123,"Labu siam, segar",DABM-1964,"92,3",30,0.6,0.1,6.7,6.2,"0,3",14,25,"0,5",2.7,167.1,"0,16",1,,48,20,"0,02",0,"0,6",18.0,83,D,DR,S,Sayur,tkpi_main_group,"labu siam, segar",labu siam,labu siam,1 gelas,1.0,gelas,100.0,False,False,False,False,30.0,0.6,0.1,6.7,2.7,167.1,14.0,6.2,False,True
DR124,"Labu waluh, segar",DABM-1964,"91,2",32,1.1,0.1,6.6,0.5,1,45,64,"1,4",1.0,356.2,"0,13","0,3",,712,180,"0,08","0,12","0,6",52.0,77,D,DR,S,Sayur,tkpi_main_group,"labu waluh, segar",labu waluh,labu waluh,1 gelas,1.0,gelas,100.0,False,False,False,False,32.0,1.1,0.1,6.6,1.0,356.2,45.0,0.5,False,True
DR125,"Lantar, segar",KZGMI-2001,"91,2",34,2.2,0.3,5.5,2.9,"0,8",10,58,"0,4",3.0,155.0,"0,2","0,4",,38,,"0,3","0,07","0,4",4.0,,D,DR,S,Sayur,tkpi_main_group,"lantar, segar",lantar,lantar,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,2.2,0.3,5.5,3.0,155.0,10.0,2.9,False,True
DR126,"Lobak, segar",DABM-1964,"94,1",21,0.9,0.1,4.2,1.4,"0,7",35,26,"0,6",49.3,109.3,"0,03","0,2",,0,10,"0,03","0,04","0,3",32.0,87,D,DR,S,Sayur,tkpi_main_group,"lobak, segar",lobak,lobak,1 gelas,1.0,gelas,100.0,False,False,False,False,21.0,0.9,0.1,4.2,49.3,109.3,35.0,1.4,False,True
DR127,"Lumai/Leunca, segar",KZGMI-2001,"90,5",38,1.1,0.3,7.6,2.0,"0,5",7,55,1,2.0,,"0,1","0,3",,25,,"0,2","0,1","0,6",17.0,95,D,DR,S,Sayur,tkpi_main_group,"lumai/leunca, segar",lumai leunca,lumai leunca,1 gelas,1.0,gelas,100.0,False,False,False,False,38.0,1.1,0.3,7.6,2.0,,7.0,2.0,False,True
DR128,"Melinjo, segar",DABM-1964,80,66,5.0,0.7,13.3,,1,163,75,"2,8",,,,,,,1000,"0,1",,,100.0,60,D,DR,S,Sayur,tkpi_main_group,"melinjo, segar",melinjo,melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,66.0,5.0,0.7,13.3,,,163.0,,False,True
DR129,Mostarda metan- sawi,KZGMI-2001,"91,4",33,2.3,0.5,4.7,1.8,"1,1",60,30,"3,1",20.0,100.0,"0,1","0,4",,1575,,"0,2","0,1","0,1",12.0,85,D,DR,S,Sayur,tkpi_main_group,mostarda metan- sawi,mostarda metan- sawi,mostarda metan- sawi,1 gelas,1.0,gelas,100.0,False,False,False,False,33.0,2.3,0.5,4.7,20.0,100.0,60.0,1.8,False,True
DR130,"Nangka muda, segar",DABM-1964,"85,4",57,2.0,0.4,11.3,8.3,"0,9",45,29,"0,5",1.1,246.5,"0,04","0,1",,21,25,"0,07","0,06","0,7",9.0,80,D,DR,S,Sayur,tkpi_main_group,"nangka muda, segar",nangka muda,nangka muda,1 gelas,1.0,gelas,100.0,False,False,False,False,57.0,2.0,0.4,11.3,1.1,246.5,45.0,8.3,False,True
DR131,"Paria putih, segar",KZGPI-1990,"94,4",19,1.0,0.4,3.6,1.3,"0,6",31,65,"0,9",4.7,277.7,"0,03","0,8",0.0,197,80,"0,18","0,04","0,4",58.0,80,D,DR,S,Sayur,tkpi_main_group,"paria putih, segar",paria putih,paria putih,1 gelas,1.0,gelas,100.0,False,False,False,False,19.0,1.0,0.4,3.6,4.7,277.7,31.0,1.3,False,True
DR132,"Pepare ular, segar",KZGMI-2001,"95,1",19,0.6,0.1,3.9,1.0,"0,3",20,10,"0,4",130.0,30.0,"0,1","0,1",,69,,"0,1","0,1","0,1",9.0,97,D,DR,S,Sayur,tkpi_main_group,"pepare ular, segar",pepare ular,pepare ular,1 gelas,1.0,gelas,100.0,False,False,False,False,19.0,0.6,0.1,3.9,130.0,30.0,20.0,1.0,False,True
DR133,"Pepaya muda, segar",DABM-1964,"92,3",29,2.1,0.1,4.9,2.1,"0,6",50,16,"0,4",21.9,211.2,"0,01",0,,0,50,"0,02","0,03","0,3",19.0,65,D,DR,S,Sayur,tkpi_main_group,"pepaya muda, segar",pepaya muda,pepaya muda,1 gelas,1.0,gelas,100.0,False,False,False,False,29.0,2.1,0.1,4.9,21.9,211.2,50.0,2.1,False,True
DR134,"Petai, segar",KZGMI-2001,"77,2",92,5.4,1.1,15.2,2.0,"1,1",14,170,"1,6",55.0,221.0,"0,2","0,8",,114,,"0,8","0,1","6,1",34.0,36,D,DR,S,Sayur,tkpi_main_group,"petai, segar",petai,petai,1 gelas,1.0,gelas,100.0,False,False,False,False,92.0,5.4,1.1,15.2,55.0,221.0,14.0,2.0,False,True
DR135,"Peterseli, segar",DABM-1964,"83,9",53,3.7,1.0,9.0,0.0,"2,4",193,84,"4,3",18.2,1125.6,"0,2","1,4",,2940,8230,"0,11","0,29","0,7",193.0,95,D,DR,S,Sayur,tkpi_main_group,"peterseli, segar",peterseli,peterseli,1 gelas,1.0,gelas,100.0,False,False,False,False,53.0,3.7,1.0,9.0,18.2,1125.6,193.0,0.0,False,True
DR136,"Pucuk lumai/daun leunca, segar",KZGMI-2001,91,33,4.5,0.4,2.8,,"1,3",13,75,"2,9",2.0,0.0,"0,2","0,6",,,,"0,5","0,1",,41.0,70,D,DR,S,Sayur,tkpi_main_group,"pucuk lumai/daun leunca, segar",pucuk lumai daun leunca,pucuk lumai daun leunca,1 gelas,1.0,gelas,100.0,False,False,False,False,33.0,4.5,0.4,2.8,2.0,0.0,13.0,,False,True
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,0.8,0.1,5.3,9.7,"0,5",3,5,"0,5",3.0,206.0,"0,1","0,4",,10,,"0,2","0,07","0,5",0.0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,0.8,0.1,5.3,3.0,206.0,3.0,9.7,False,True
DR139,"Rimbang, segar",KZGMI-2001,"80,8",75,1.6,0.6,15.8,10.0,"1,2",55,97,"0,6",20.0,234.0,"0,4","0,4",,51,,"0,4","0,1","1,3",38.0,95,D,DR,S,Sayur,tkpi_main_group,"rimbang, segar",rimbang,rimbang,1 gelas,1.0,gelas,100.0,False,False,False,False,75.0,1.6,0.6,15.8,20.0,234.0,55.0,10.0,False,True
DR140,Rumput laut,KZGMI-2001,87,41,1.4,0.3,8.1,2.2,"3,2",80,20,"1,6",250.0,380.0,"0,2","0,4",,1958,,"0,2",0,"0,1",7.0,100,D,DR,S,Sayur,tkpi_main_group,rumput laut,rumput laut,rumput laut,1 gelas,1.0,gelas,100.0,False,False,False,False,41.0,1.4,0.3,8.1,250.0,380.0,80.0,2.2,False,True
DR141,"Sawi, segar",DABM-1964,"92,2",28,2.3,0.3,4.0,2.5,"1,2",220,38,"2,9",21.9,436.5,"0,12","0,2",,2042,6460,"0,09","0,23","0,7",102.0,87,D,DR,S,Sayur,tkpi_main_group,"sawi, segar",sawi,sawi,1 gelas,1.0,gelas,100.0,False,False,False,False,28.0,2.3,0.3,4.0,21.9,436.5,220.0,2.5,False,True
DR142,"Sawi putih/ pecai, segar",KZGPI-1990,"96,6",9,1.0,0.1,1.7,0.8,"0,6",56,42,"1,1",5.0,193.1,"0,05","0,1",0.0,862,832,"0,05","0,18","0,4",3.0,79,D,DR,S,Sayur,tkpi_main_group,"sawi putih/ pecai, segar",sawi putih pecai,sawi putih pecai,1 gelas,1.0,gelas,100.0,False,False,False,False,9.0,1.0,0.1,1.7,5.0,193.1,56.0,0.8,False,True
DR143,"Sawi taiwan, segar",KZGMI-2001,"91,8",30,1.9,0.5,4.4,2.7,"1,4",100,58,"1,6",27.0,217.0,"0,1","0,7",,1340,,"0,2","0,1","0,6",33.0,85,D,DR,S,Sayur,tkpi_main_group,"sawi taiwan, segar",sawi taiwan,sawi taiwan,1 gelas,1.0,gelas,100.0,False,False,False,False,30.0,1.9,0.5,4.4,27.0,217.0,100.0,2.7,False,True
DR144,"Sawi tanah, segar",KZGMI-2001,"94,9",19,1.3,0.2,2.9,2.2,1,92,45,"1,2",17.0,145.0,"0,1","0,4",,815,,"0,2","0,1","0,1",36.0,85,D,DR,S,Sayur,tkpi_main_group,"sawi tanah, segar",sawi tanah,sawi tanah,1 gelas,1.0,gelas,100.0,False,False,False,False,19.0,1.3,0.2,2.9,17.0,145.0,92.0,2.2,False,True
DR145,"Selada, segar",DABM-1964,"94,8",18,1.2,0.2,2.9,1.8,"0,9",22,25,"0,5",18.6,186.4,"0,03","0,2",,1526,540,"0,04","0,13","0,4",8.0,69,D,DR,S,Sayur,tkpi_main_group,"selada, segar",selada,selada,1 gelas,1.0,gelas,100.0,False,False,False,False,18.0,1.2,0.2,2.9,18.6,186.4,22.0,1.8,False,True
DR146,"Selada air, segar",KZGPI-1990,"93,3",17,3.1,0.2,2.2,0.7,"1,2",95,152,"2,4",64.9,260.7,"0,11","0,2",0.0,1230,3727,"0,09","0,14","0,7",56.0,70,D,DR,S,Sayur,tkpi_main_group,"selada air, segar",selada air,selada air,1 gelas,1.0,gelas,100.0,False,False,False,False,17.0,3.1,0.2,2.2,64.9,260.7,95.0,0.7,False,True
DR147,"Seledri, segar",DABM-1964,93,23,1.0,0.1,4.6,2.0,"1,3",50,40,1,64.5,258.8,"0,08","0,4",,63,130,"0,03","0,07","0,4",11.0,63,D,DR,S,Sayur,tkpi_main_group,"seledri, segar",seledri,seledri,1 gelas,1.0,gelas,100.0,False,False,False,False,23.0,1.0,0.1,4.6,64.5,258.8,50.0,2.0,False,True
DR148,"Taoge, segar",KZGPI-1990,"90,4",34,3.7,1.2,4.3,1.1,"0,4",166,74,"0,8",18.9,93.3,"0,16","0,4",,41,20,"0,09","0,15","1,1",5.0,100,D,DR,S,Sayur,tkpi_main_group,"taoge, segar",taoge,taoge,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,3.7,1.2,4.3,18.9,93.3,166.0,1.1,False,True
DR149,"Taoge kacang kedelai, segar",DABM-1964,81,76,9.0,2.6,6.4,0.7,1,50,65,1,4.7,212.4,"0,26","0,7",,0,110,"0,23","0,19","1,2",15.0,100,D,DR,S,Sayur,tkpi_main_group,"taoge kacang kedelai, segar",taoge kacang kedelai,taoge kacang kedelai,1 gelas,1.0,gelas,100.0,False,False,False,False,76.0,9.0,2.6,6.4,4.7,212.4,50.0,0.7,False,True
DR150,"Taoge kacang tunggak, segar",DABM-1964,88,40,5.0,0.2,5.8,2.6,1,57,88,1,2.1,226.8,"0,07","0,5",,299,0,"0,07","0,08","0,8",15.0,90,D,DR,S,Sayur,tkpi_main_group,"taoge kacang tunggak, segar",taoge kacang tunggak,taoge kacang tunggak,1 gelas,1.0,gelas,100.0,False,False,False,False,40.0,5.0,0.2,5.8,2.1,226.8,57.0,2.6,False,True
DR151,"Tebu terubuk (lilin), segar",DABM-1964,91,30,4.6,0.4,3.0,0.8,1,40,80,2,698.6,,"0,2","1,1",,12,0,"0,08","0,2","1,2",50.0,20,D,DR,S,Sayur,tkpi_main_group,"tebu terubuk (lilin), segar",tebu terubuk (lilin),tebu terubuk (lilin),1 gelas,1.0,gelas,100.0,False,False,False,False,30.0,4.6,0.4,3.0,698.6,,40.0,0.8,False,True
DR152,"Tekokak, segar",DABM-1964,89,34,2.0,0.1,7.9,4.9,1,50,30,2,2.9,333.3,"0,12","0,2",,23,750,"0,08","0,05","0,9",8.0,95,D,DR,S,Sayur,tkpi_main_group,"tekokak, segar",tekokak,tekokak,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,2.0,0.1,7.9,2.9,333.3,50.0,4.9,False,True
DR153,"Tekokak, kering",DABM-1964,"12,3",302,8.3,1.7,72.6,21.2,"8,1",370,180,"22,2",8.5,0.0,"1044,2",1,,187,750,"0,4","0,17","5,1",0.0,100,D,DR,S,Sayur,tkpi_main_group,"tekokak, kering","tekokak, kering","tekokak, kering",1 gelas,1.0,gelas,100.0,False,False,False,False,302.0,8.3,1.7,72.6,8.5,0.0,370.0,21.2,False,True
DR154,"Terong, segar",DABM-1964,"92,7",28,1.1,0.2,5.5,2.1,"0,5",15,37,"0,4",8.9,187.0,"0,1","0,1",,46,30,"0,04","0,03","0,5",5.0,100,D,DR,S,Sayur,tkpi_main_group,"terong, segar",terong,terong,1 gelas,1.0,gelas,100.0,False,False,False,False,28.0,1.1,0.2,5.5,8.9,187.0,15.0,2.1,False,True
DR155,"Terong asam, segar",KZGMI-2001,"90,5",37,2.0,0.4,6.3,3.2,"0,8",13,59,"1,5",3.0,155.0,"0,3","0,3",,97,,"0,2","0,1","0,8",4.0,,D,DR,S,Sayur,tkpi_main_group,"terong asam, segar",terong asam,terong asam,1 gelas,1.0,gelas,100.0,False,False,False,False,37.0,2.0,0.4,6.3,3.0,155.0,13.0,3.2,False,True
DR156,"Terung belanda, segar",KZGPI-1990,"87,3",52,2.1,1.1,8.6,1.4,1,16,40,"1,1",,,,,0.0,,8048,"0,42","0,06",0,12.0,100,D,DR,S,Sayur,tkpi_main_group,"terung belanda, segar",terung belanda,terung belanda,1 gelas,1.0,gelas,100.0,False,False,False,False,52.0,2.1,1.1,8.6,,,16.0,1.4,False,True
DR157,"Terung bengkulu, segar",KZGPI-1990,"86,6",52,1.1,0.4,11.2,3.2,"0,8",19,39,"1,1",13.7,,"0,16",1,0.0,85,600,"0,23","0,04",0,6.0,100,D,DR,S,Sayur,tkpi_main_group,"terung bengkulu, segar",terung bengkulu,terung bengkulu,1 gelas,1.0,gelas,100.0,False,False,False,False,52.0,1.1,0.4,11.2,13.7,,19.0,3.2,False,True
DR158,"Terong hintalo, segar",KZGMI-2001,"89,2",45,1.9,0.8,7.5,5.1,"0,6",19,268,1,167.0,142.0,"0,6","0,2",,552,,"0,2","0,4",,4.0,,D,DR,S,Sayur,tkpi_main_group,"terong hintalo, segar",terong hintalo,terong hintalo,1 gelas,1.0,gelas,100.0,False,False,False,False,45.0,1.9,0.8,7.5,167.0,142.0,19.0,5.1,False,True
DR159,Terung panjang,KZGPI-1990,"91,8",25,2.1,0.1,5.3,0.5,"0,7",38,24,"0,7",8.8,53.7,"0,09","0,2",0.0,83,24,"0,15","0,06","0,7",8.0,100,D,DR,S,Sayur,tkpi_main_group,terung panjang,terung panjang,terung panjang,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,2.1,0.1,5.3,8.8,53.7,38.0,0.5,False,True
DR160,"Tomat, air (sari), segar",DABM-1964,94,20,1.0,0.2,3.5,0.4,"1,3",7,15,"0,4",9.8,225.2,"0,06","0,1",,266,600,"0,05","0,03","0,7",10.0,100,D,DR,S,Sayur,tkpi_main_group,"tomat, air (sari), segar","tomat, air (sari)","tomat, air (sari)",1 gelas,1.0,gelas,100.0,False,False,False,False,20.0,1.0,0.2,3.5,9.8,225.2,7.0,0.4,False,True
DR161,"Tomat merah, segar",KZGPI-1990,"92,9",24,1.3,0.5,4.7,1.5,"0,6",8,77,"0,6",9.8,164.9,"0,14","0,2",,575,2083,"0,06","0,07","0,4",34.0,100,D,DR,S,Sayur,tkpi_main_group,"tomat merah, segar",tomat merah,tomat merah,1 gelas,1.0,gelas,100.0,False,False,False,False,24.0,1.3,0.5,4.7,9.8,164.9,8.0,1.5,False,True
DR162,"Tomat muda, segar",DABM-1964,93,24,2.0,0.7,3.3,1.8,2,5,27,"0,5",10.3,210.0,"0,07","0,2",,384,320,"0,07","0,04","0,7",30.0,95,D,DR,S,Sayur,tkpi_main_group,"tomat muda, segar",tomat muda,tomat muda,1 gelas,1.0,gelas,100.0,False,False,False,False,24.0,2.0,0.7,3.3,10.3,210.0,5.0,1.8,False,True
DR163,"Uceng/ bunga melinjo, segar",KZGPI-1990,"79,5",82,5.8,1.3,11.7,4.8,"1,7",70,266,"2,4",,,,,,,58,"0,11","0,15",,3.0,89,D,DR,S,Sayur,tkpi_main_group,"uceng/ bunga melinjo, segar",uceng bunga melinjo,uceng bunga melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,82.0,5.8,1.3,11.7,,,70.0,4.8,False,True
DR164,"Umbut kelapa, segar",KZGMI-2001,"89,3",39,2.0,0.2,7.2,2.5,"1,3",57,49,,4.0,447.0,"0,2","1,4",,16,,"0,1","0,1",,8.0,,D,DR,S,Sayur,tkpi_main_group,"umbut kelapa, segar",umbut kelapa,umbut kelapa,1 gelas,1.0,gelas,100.0,False,False,False,False,39.0,2.0,0.2,7.2,4.0,447.0,57.0,2.5,False,True
DR165,Umbut rotan,KZGMI-2001,"90,5",34,2.4,0.3,5.5,2.2,"1,3",89,79,"1,3",8.0,552.0,"0,2","1,9",,14,,"0,2",,,9.0,,D,DR,S,Sayur,tkpi_main_group,umbut rotan,umbut rotan,umbut rotan,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,2.4,0.3,5.5,8.0,552.0,89.0,2.2,False,True
DR166,"Wortel, segar",KZGPI-1990,"89,9",36,1.0,0.6,7.9,1.0,"0,6",45,74,1,70.0,245.0,"0,06","0,3",,3784,7125,"0,04","0,04",1,18.0,80,D,DR,S,Sayur,tkpi_main_group,"wortel, segar",wortel,wortel,1 gelas,1.0,gelas,100.0,False,False,False,False,36.0,1.0,0.6,7.9,70.0,245.0,45.0,1.0,False,True
ER022,"Duku, segar",DABM-1964,82,63,1.0,0.2,16.1,4.3,"0,7",18,9,"0,9",2.0,149.0,"0,09","0,2",,0,0,"0,05","0,15","1,5",9.0,64,E,ER,B,Buah,tkpi_main_group,"duku, segar",duku,duku,14 buah sedang,14.0,buah sedang,80.0,False,True,False,False,50.4,0.8,0.16,12.88,1.6,119.2,14.4,3.44,False,True
ER023,"Durian, segar",DABM-1964,65,149,2.5,3.0,21.5,3.5,8,7,44,"1,3",1.0,601.0,"0,12","0,3",,146,175,"0,1","0,19","136,5",53.0,22,E,ER,B,Buah,tkpi_main_group,"durian, segar",durian,durian,2 biji besar,2.0,biji besar,35.0,False,True,False,False,52.15,0.875,1.05,7.525,0.35,210.35,2.45,1.225,False,True
ER035,"Jeruk bali, segar",DABM-1964,86,48,0.6,0.2,12.4,0.8,"0,5",23,27,"0,5",21.0,366.1,"171,25","0,1",,33,20,"0,04",0,"0,4",43.0,62,E,ER,B,Buah,tkpi_main_group,"jeruk bali, segar",jeruk bali,jeruk bali,1 potong,1.0,potong,105.0,False,True,False,False,50.4,0.63,0.21,13.02,22.05,384.405,24.15,0.84,False,True
ER039,"Jeruk manis, segar",DABM-1964,87,45,0.9,0.2,11.2,1.4,"0,5",33,23,"0,4",4.0,472.1,160,"0,2",,0,190,"0,08","0,03","0,2",49.0,72,E,ER,B,Buah,tkpi_main_group,"jeruk manis, segar",jeruk manis,jeruk manis,2 buah sedang,2.0,buah sedang,100.0,False,True,False,False,45.0,0.9,0.2,11.2,4.0,472.1,33.0,1.4,False,True
ER040,"Jeruk nipis, segar",KZGPI- 1990,89,44,0.5,0.2,10.0,0.4,"0,4",18,22,"0,2",3.0,108.9,"0,06","0,1",,23,4,"0,01","0,03","0,2",20.0,76,E,ER,B,Buah,tkpi_main_group,"jeruk nipis, segar",jeruk nipis,jeruk nipis,1 ½ gelas,1.5,gelas,135.0,False,True,False,False,59.4,0.675,0.27,13.5,4.05,147.015,24.3,0.54,False,True
ER048,"Kesemek, segar",DABM-1964,78,78,0.8,0.4,20.0,0.6,"0,6",6,26,"0,3",0.0,34.5,"0,13","0,1",,,2710,,,"0,1",11.0,97,E,ER,B,Buah,tkpi_main_group,"kesemek, segar",kesemek,kesemek,1 ½ buah,1.5,buah,65.0,False,True,False,False,50.7,0.52,0.26,13.0,0.0,22.425,3.9,0.39,False,True
ER054,"Mangga, segar",KZGMI-2001,87,52,0.7,0.0,12.3,1.6,"0,2",20,16,1,3.0,140.0,"0,33",0,,,,,,"0,3",12.0,65,E,ER,B,Buah,tkpi_main_group,"mangga, segar",mangga,mangga,¾ buah besar,0.75,buah besar,90.0,False,True,False,False,46.8,0.6299999999999999,0.0,11.07,2.7,126.0,18.0,1.44,False,True
ER064,"Manggis, segar",DABM-1964,83,63,0.6,0.6,15.6,1.5,"0,2",8,12,"0,8",10.0,61.9,"0,1","0,1",,0,0,"0,03","0,03","0,3",5.0,29,E,ER,B,Buah,tkpi_main_group,"manggis, segar",manggis,manggis,2 buah sedang,2.0,buah sedang,80.0,False,True,False,False,50.4,0.48,0.48,12.48,8.0,49.52,6.4,1.2,False,True
ER065,"Markisa, segar",KZGPI- 1990,65,144,3.5,1.2,29.8,11.4,"0,8",27,203,"1,4",37.0,453.8,"0,11","0,1",0.0,969,691,"0,02","0,17",2,10.0,48,E,ER,B,Buah,tkpi_main_group,"markisa, segar",markisa,markisa,¾ buah sedang,0.75,buah sedang,35.0,False,True,False,False,50.4,1.225,0.42,10.43,12.95,158.83,9.45,3.99,False,True
ER067,"Melon, segar",BKP,91,37,0.6,0.4,7.8,1.0,"0,5",12,14,"0,4",27.0,167.0,"0,3","0,1",,1,0,"0,02","0,1",0,0.0,"58,1",E,ER,B,Buah,tkpi_main_group,"melon, segar",melon,melon,1 potong,1.0,potong,90.0,False,True,False,False,33.3,0.54,0.36,7.02,24.3,150.3,10.8,0.9,False,True
ER074,"Pisang ambon, segar",KZGMI-2001,73,108,1.0,0.8,24.3,1.9,1,20,30,"0,2",10.0,356.3,"0,2","0,2",,37,,"0,05","0,11","0,1",9.0,75,E,ER,B,Buah,tkpi_main_group,"pisang ambon, segar",pisang ambon,pisang ambon,1 buah sedang,1.0,buah sedang,50.0,False,True,False,False,54.0,0.5,0.4,12.15,5.0,178.15,10.0,0.95,False,True
ER081,"Pisang kepok, segar",KZGMI-2001,72,109,0.8,0.5,26.3,5.7,1,10,30,"0,5",10.0,300.0,"0,1","0,2",,0,,"0,1",0,"0,1",9.0,75,E,ER,B,Buah,tkpi_main_group,"pisang kepok, segar",pisang kepok,pisang kepok,1 buah,1.0,buah,45.0,False,True,False,False,49.05,0.36,0.225,11.835,4.5,135.0,4.5,2.565,False,True
ER087,"Pisang mas, segar",DABM-1964,64,127,1.4,0.2,33.6,1.4,"0,6",7,25,"0,8",42.0,392.0,"195,78",,,17,,"0,09","0,08","4,5",2.0,85,E,ER,B,Buah,tkpi_main_group,"pisang mas, segar",pisang mas,pisang mas,2 buah,2.0,buah,40.0,False,True,False,False,50.8,0.56,0.08,13.44,16.8,156.8,2.8,0.56,False,True
ER089,"Pisang raja, segar",DABM-1964,66,120,1.2,0.2,31.8,5.3,1,10,22,"0,8",35.0,582.2,"0,31",,,53,,"0,06","0,14","1,2",10.0,70,E,ER,B,Buah,tkpi_main_group,"pisang raja, segar",pisang raja,pisang raja,2 buah kecil,2.0,buah kecil,40.0,False,True,False,False,48.0,0.48,0.08,12.72,14.0,232.88,4.0,2.12,False,True
ER097,"Rambutan, segar",DABM-1964,81,69,0.9,0.1,18.1,0.8,"0,4",16,16,"0,5",16.0,104.2,"0,17",,,0,,0,"0,07","0,5",58.0,40,E,ER,B,Buah,tkpi_main_group,"rambutan, segar",rambutan,rambutan,8 buah,8.0,buah,75.0,False,True,False,False,51.75,0.675,0.075,13.575,12.0,78.15,12.0,0.6,False,True
ER101,"Salak, segar",DABM-1964,78,77,0.4,,20.9,,"0,7",28,18,"4,2",,,"0,08",,,4,,"0,04",,,2.0,93,E,ER,B,Buah,tkpi_main_group,"salak, segar",salak,salak,2 buah sedang,2.0,buah sedang,65.0,False,True,False,False,50.05,0.26,,13.585,,,18.2,,False,True
ER105,"Semangka, segar",DABM-1964,92,28,0.5,0.2,6.9,0.4,"0,3",7,12,"0,2",7.0,93.8,"0,04",,,315,,"0,05","0,05","0,3",6.0,46,E,ER,B,Buah,tkpi_main_group,"semangka, segar",semangka,semangka,2 potong sedang,2.0,potong sedang,180.0,False,True,False,False,50.4,0.9,0.36,12.42,12.6,168.84,12.6,0.72,False,True
ER106,"Sirsak, segar",DABM-1964,82,65,1.0,0.3,16.3,3.2,"0,7",14,27,"0,6",2.0,298.9,"0,08",1,,8,10,"0,07","0,08","0,7",20.0,68,E,ER,B,Buah,tkpi_main_group,"sirsak, segar",sirsak,sirsak,½ gelas,0.5,gelas,60.0,False,True,False,False,39.0,0.6,0.18,9.78,1.2,179.34,8.4,1.92,False,True
ER108,"Srikaya, segar",KZGPI- 1990,83,63,1.1,0.5,13.9,2.1,"1,1",127,30,"2,7",,,,,0.0,,31,"0,08",,,28.0,48,E,ER,B,Buah,tkpi_main_group,"srikaya, segar",srikaya,srikaya,2 buah besar,2.0,buah besar,50.0,False,True,False,False,31.5,0.55,0.25,6.95,,,63.5,1.05,False,True
FR001,"Anak sapi, daging, gemuk, segar",DABM-1964,62,184,18.8,14.0,0.0,0.0,"5,2",10,200,"2,2",118.0,490.1,"0,17","3,3",12.0,,,,,7,,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, gemuk, segar",daging sapi,"anak sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,64.4,6.58,4.9,0.0,41.3,171.535,3.5,0.0,False,True
FR002,"Anak sapi, daging, kurus, segar",DABM-1964,69,174,19.6,10.0,0.0,0.0,"1,4",11,201,"2,9",96.0,399.8,"0,14","2,7",6.0,,,,,"5,7",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, kurus, segar",daging sapi,"anak sapi, daging, kurus",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,60.9,6.86,3.5,0.0,33.6,139.93,3.85,0.0,False,True
FR003,"Anak sapi, daging, sedang, segar",DABM-1964,68,190,19.1,12.0,0.0,0.0,"0,9",11,193,"2,9",99.0,412.7,"0,14","2,8",12.0,,,,,"5,9",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, sedang, segar",daging sapi,"anak sapi, daging, sedang",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,66.5,6.685,4.2,0.0,34.65,144.445,3.85,0.0,False,True
FR005,"Ayam, daging, segar",DABM-1964,"55,9",298,18.2,25.0,0.0,0.0,"0,9",14,200,"1,5",109.0,385.9,"0,11","0,6",245.0,,,,,"10,4",0.0,58,F,FR,LH,Lauk Hewani,tkpi_main_group,"ayam, daging, segar",daging ayam,"ayam, daging",1 potong sedang,1.0,potong sedang,40.0,False,True,False,False,119.2,7.28,10.0,0.0,43.6,154.36,5.6,0.0,False,True
FR024,"Sapi, daging, gemuk, segar",DABM-1964,60,273,17.5,22.0,0.0,0.0,"0,5",10,150,"2,6",93.0,267.0,"0,17","6,4",12.0,,,,,"7,3",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, gemuk, segar",daging sapi,"sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,95.55,6.125,7.7,0.0,32.55,93.45,3.5,0.0,False,True
